Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions,Age_Group,Age Group
2022-08-30 14:43:14,19.0,Spotify,5.0,True,True,True,Metal,True,Yes,180.0,1,1,1,1,0,1,1,0,1,2,3,2,1,1,3,2,2.0,3.0,5.0,2.0,Improve,I understand.,19-25,19-25
2022-08-30 16:04:47,20.0,YouTube Music,3.0,True,True,True,Classical,True,No,100.0,3,2,1,2,1,1,3,1,1,0,1,2,2,1,1,1,2.0,3.0,3.0,0.0,Improve,I understand.,19-25,19-25
2022-08-30 16:43:28,18.0,Spotify,2.0,False,False,False,Rock,True,No,123.0,0,3,0,1,1,1,1,0,0,0,2,3,0,2,2,2,8.0,4.0,3.0,0.0,Improve,I understand.,0-18,0-18
2022-08-30 17:33:13,31.0,I do not use a streaming service.,4.0,True,True,False,Classical,True,Yes,55.0,3,1,0,1,1,0,2,0,0,1,1,0,0,0,2,2,8.0,8.0,9.0,3.0,Improve,I understand.,26-35,26-35
2022-08-30 17:43:36,40.5,Spotify,6.0,True,True,True,Rock,False,No,77.0,0,2,0,0,0,0,3,0,2,0,0,1,3,0,3,0,0.0,1.0,0.0,2.0,Improve,I understand.,36-45,36-45
2022-08-30 18:15:39,40.5,Pandora,3.0,True,False,False,R&B,True,Yes,34.0,2,3,1,2,3,2,2,1,3,0,1,2,3,2,2,0,5.0,4.0,0.0,1.0,Improve,I understand.,36-45,36-45
2022-08-31 01:39:16,16.0,Spotify,4.0,True,False,False,Pop,True,Yes,150.0,1,1,2,2,1,3,1,2,1,2,1,3,1,1,1,1,7.5,5.0,7.0,8.5,Improve,I understand.,0-18,0-18
2022-08-31 05:45:08,19.0,YouTube Music,3.0,False,True,False,Rap,True,Yes,73.0,1,0,2,0,0,2,1,0,0,1,0,2,1,3,2,2,3.0,3.0,0.0,0.0,Improve,I understand.,19-25,19-25
2022-08-31 06:36:13,16.0,Spotify,2.0,True,True,False,Classical,False,No,155.0,3,1,0,1,0,1,1,0,0,1,0,3,0,0,1,1,7.0,5.0,3.0,1.0,Improve,I understand.,0-18,0-18
2022-08-31 08:35:00,39.0,Spotify,1.0,True,False,False,Hip hop,True,Yes,89.0,0,1,1,2,0,3,1,1,1,2,2,3,2,3,3,0,6.0,4.0,1.0,1.0,Improve,I understand.,36-45,36-45
2022-08-31 09:42:46,15.0,Spotify,6.0,True,True,False,K pop,True,Yes,110.0,2,0,1,2,0,1,2,3,2,2,1,3,2,1,3,0,8.0,8.0,7.0,10.0,No effect,I understand.,0-18,0-18
2022-08-31 12:53:28,14.0,Spotify,9.0,True,False,False,R&B,True,Yes,140.0,3,1,1,1,1,2,1,3,1,2,1,3,3,3,1,1,10.0,8.0,9.0,5.0,Improve,I understand.,0-18,0-18
2022-08-31 13:20:39,21.0,Spotify,1.0,False,False,False,Country,False,No,135.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2.0,0.0,Improve,I understand.,19-25,19-25
2022-08-31 14:28:33,38.0,Apple Music,1.0,True,False,False,Video game music,False,No,125.0,1,0,0,0,0,1,2,1,1,0,1,2,1,1,1,3,5.0,5.0,7.0,1.0,Worsen,I understand.,36-45,36-45
2022-08-31 15:48:18,23.0,Spotify,0.5,False,False,True,Hip hop,True,Yes,110.0,2,2,1,1,1,3,1,3,1,2,1,2,2,3,1,2,7.0,7.0,6.0,5.0,Improve,I understand.,19-25,19-25
2022-08-31 16:47:03,16.0,Other streaming service,1.0,False,False,False,EDM,True,No,140.0,0,0,3,0,0,2,1,0,0,2,2,1,1,1,2,2,7.0,4.0,6.0,3.0,Improve,I understand.,0-18,0-18
2022-08-31 18:56:39,13.0,Spotify,6.0,True,False,False,Rap,True,No,112.0,0,0,0,0,0,3,0,1,0,1,0,1,0,3,0,0,4.0,0.0,0.0,2.0,Worsen,I understand.,0-18,0-18
2022-08-31 20:40:05,16.0,Spotify,4.0,True,False,False,Rock,True,No,96.0,1,2,2,2,0,2,1,2,0,3,3,3,0,0,3,2,3.0,0.0,6.0,9.0,Improve,I understand.,0-18,0-18
2022-08-31 23:09:44,21.0,Spotify,4.0,True,False,False,Metal,True,Yes,155.0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,3,3,10.0,6.0,8.0,0.0,Improve,I understand.,19-25,19-25
2022-09-01 01:16:46,17.0,Spotify,1.5,True,False,False,Classical,True,Yes,174.0,3,1,0,1,0,0,2,0,0,2,0,3,1,0,0,0,7.0,5.0,1.0,2.0,No effect,I understand.,0-18,0-18
2022-09-01 02:32:43,24.0,Apple Music,2.0,True,False,False,Rock,True,Yes,93.0,1,2,0,3,0,2,2,0,1,2,0,1,1,2,3,0,7.0,7.0,0.0,4.0,No effect,I understand.,19-25,19-25
2022-09-01 03:38:02,14.0,Apple Music,2.0,True,False,False,Pop,True,No,78.0,1,0,0,2,0,2,0,1,3,1,1,3,2,2,1,0,6.0,0.0,0.0,0.0,Improve,I understand.,0-18,0-18
2022-09-01 05:20:01,22.0,Spotify,3.0,True,False,False,Lofi,True,Yes,174.0,1,3,2,1,1,1,1,1,1,3,1,1,1,1,1,1,7.0,6.0,7.0,9.0,Improve,I understand.,19-25,19-25
2022-09-01 09:25:07,20.0,I do not use a streaming service.,4.0,True,False,False,Rock,True,Yes,120.0,1,0,2,0,0,1,0,3,1,1,2,3,1,1,3,1,5.0,7.0,7.0,0.0,No effect,I understand.,19-25,19-25
2022-09-01 12:04:47,23.0,Spotify,2.0,True,False,False,Pop,False,No,75.0,2,1,1,2,0,3,2,0,0,0,0,3,3,3,2,2,7.0,6.0,4.0,3.0,Improve,I understand.,19-25,19-25
2022-09-01 13:13:06,40.5,Pandora,2.0,True,False,False,Rock,True,No,94.0,0,0,0,1,0,0,0,1,0,0,2,2,1,0,2,0,2.0,2.0,2.0,0.0,Improve,I understand.,36-45,36-45
2022-09-01 13:14:34,24.0,Spotify,6.0,True,False,False,Video game music,False,Yes,180.0,2,0,2,3,0,0,0,1,0,1,2,1,0,0,3,3,9.0,5.0,0.0,7.0,Improve,I understand.,19-25,19-25
2022-09-01 14:56:21,34.0,Spotify,0.0,False,True,False,Rock,False,Yes,115.0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,3,0,3.0,7.0,8.0,0.0,Worsen,I understand.,26-35,26-35
2022-09-01 14:57:20,40.5,Spotify,1.0,False,False,False,Pop,True,No,128.0,2,0,0,0,0,3,1,0,0,3,0,3,3,3,2,0,4.0,5.0,9.0,1.0,Improve,I understand.,36-45,36-45
2022-09-01 14:59:20,33.0,I do not use a streaming service.,4.0,True,True,False,Rock,True,Yes,112.0,1,2,1,1,1,1,1,0,0,3,1,2,1,1,3,3,1.0,0.0,7.0,0.0,Improve,I understand.,26-35,26-35
2022-09-01 15:01:10,22.0,I do not use a streaming service.,2.0,False,True,True,Metal,False,No,140.0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,3,3,3.0,2.0,0.0,2.0,No effect,I understand.,19-25,19-25
2022-09-01 15:05:15,38.0,Spotify,3.0,True,False,False,Metal,True,Yes,143.0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,1.0,6.0,1.0,2.0,Improve,I understand.,36-45,36-45
2022-09-01 15:21:55,23.0,YouTube Music,4.0,False,False,False,Hip hop,True,No,72.0,1,1,0,1,0,3,1,0,0,2,1,3,2,2,2,1,8.0,10.0,4.0,0.0,No effect,I understand.,19-25,19-25
2022-09-01 15:24:02,34.0,I do not use a streaming service.,2.0,False,False,False,Video game music,False,Yes,100.0,1,1,1,0,0,2,1,1,0,1,1,0,0,2,1,3,8.0,10.0,10.0,0.0,No effect,I understand.,26-35,26-35
